KEY                                                | zh-CN                          | zh-TW                          | en                            
Settings.BrowseGameLogPath                         | 选择游戏日志文件                       | 選擇遊戲日誌檔案                       | Select game log file          
Settings.CacheCleared                              | 缓存已清除                          | 缓存已清除                          | Cache cleared                 
Settings.CachePath                                 | 缓存路径                           | 缓存路径                           | Cache Path                    
Settings.CacheSize                                 | 缓存大小：                          | 缓存大小：                          | Cache Size:                   
Settings.Cancel                                    | 取消                             | 取消                             | Cancel                        
Settings.Category.Cache                            | 缓存文件路径                         | 缓存文件路径                         | Cache File Path               
Settings.Category.CloseBehavior                    | 关闭行为                           | 关闭行为                           | Close Behavior                
Settings.Category.GameLog                          | 游戏状态识别                         | 遊戲狀態識別                         | Game Status Detection         
Settings.Category.General                          | 数据存储路径                         | 数据存储路径                         | Data Storage Path             
Settings.Category.Language                         | 语言                             | 语言                             | Language                      
Settings.CheckForUpdates                           | 检查更新                           | 检查更新                           | Check for Updates             
Settings.ClearCache                                | 清除缓存                           | 清除缓存                           | Clear Cache                   
Settings.CloseBehavior.Ask                         | 每次询问                           | 每次询问                           | Ask every time                
Settings.CloseBehavior.Description                 | 设置点击关闭按钮时的默认行为                 | 设置点击关闭按钮时的默认行为                 | Set the default behavior when clicking the close button
Settings.CloseBehavior.ExitDirectly                | 直接退出                           | 直接退出                           | Exit directly                 
Settings.CloseBehavior.MinimizeToTaskbar           | 最小化到任务栏                        | 最小化到任务栏                        | Minimize to taskbar           
Settings.CloseBehavior.MinimizeToTray              | 最小化到系统托盘                       | (MISSING)                      | Minimize to System Tray       
Settings.CloseBehavior.RememberChoice              | 记住选项                           | 记住选项                           | Remember choice               
Settings.CurrentVersion                            | 当前版本: {0}                      | 当前版本: {0}                      | Current version: {0}          
Settings.CurrentVersionLatest                      | 当前版本（最新）: {0}                  | 当前版本（最新）: {0}                  | Current version (latest): {0} 
Settings.DataPath                                  | 数据保存路径                         | 数据保存路径                         | Data Save Path                
Settings.DefaultPathHint                           | 默认: 用户文件夹下                     | 默认: 用户文件夹下                     | Default: user folder          
Settings.GameLogPath.Description                   | 永劫无间 Player.log 日志文件的完整路径，用于识别对局状态 | 永劫無間 Player.log 日誌檔案的完整路徑，用於識別對局狀態 | Full path to Naraka Bladepoint Player.log for game status detection
Settings.InvalidCachePath                          | 缓存路径无效或不存在，请检查后重试              | 缓存路径无效或不存在，请检查后重试              | Invalid cache path, please check and retry
Settings.InvalidDataPath                           | 数据保存路径无效或不存在，请检查后重试            | 数据保存路径无效或不存在，请检查后重试            | Invalid data path, please check and retry
Settings.NewVersionTooltip                         | 发现新版本: {0}，点击更新                | 发现新版本: {0}，点击更新                | New version: {0}, click to update
Settings.NoUpdateAvailable                         | 当前已是最新版本                       | 当前已是最新版本                       | You are running the latest version.
Settings.Save                                      | 保存                             | 保存                             | Save                          
Settings.SaveFailed                                | 保存失败: {0}                      | 保存失败: {0}                      | Save failed: {0}              
Settings.SaveSuccess                               | 保存成功                           | 保存成功                           | Saved successfully            
Settings.Title                                     | 设置                             | 设置                             | Settings                      
Settings.UpdateAvailable                           | 发现新版本                          | 发现新版本                          | New version available         
Settings.UpdateCheckFailed                         | 检查更新失败，请稍后重试                   | 检查更新失败，请稍后重试                   | Failed to check for updates. Please try again later.
Settings.UpdateChecking                            | 正在检查更新...                      | 正在检查更新...                      | Checking for updates...       
Settings.UpdateDownloading                         | 正在下载更新...                      | 正在下载更新...                      | Downloading update...         
Settings.UpdateError                               | 更新错误: {0}                      | 更新错误: {0}                      | Update error: {0}             
Stats.AvgAssists                                   | 场均助攻                           | 场均助攻                           | Avg Assists                   
Stats.AvgDamage                                    | 场伤                             | 場傷                             | Avg Damage                    
Stats.AvgHeal                                      | 场均治疗                           | 场均治疗                           | Avg Heal                      
Stats.AvgKills                                     | 场均击败                           | 场均击败                           | Avg Kills                     
Stats.AvgSurvival                                  | 场均生存                           | 场均生存                           | Avg Survival                  
Stats.BackToMe                                     | 回到我                            | 回到我                            | Back to me                    
Stats.BestAssists                                  | 最高助攻                           | 最高助攻                           | Best Assists                  
Stats.BestDamage                                   | 最高伤害                           | 最高伤害                           | Best Damage                   
Stats.BestHeal                                     | 最高治疗                           | 最高治疗                           | Best Heal                     
Stats.BestKills                                    | 最高击败                           | 最高击败                           | Best Kills                    
Stats.BestTitle                                    | 最高记录                           | 最高記錄                           | Best Records                  
Stats.Close                                        | 收起                             | 收起                             | Close                         
Stats.CopyNickname                                 | 复制昵称                           | 複製暱稱                           | Copy nickname                 
Stats.CopySuccess                                  | 复制成功                           | 複製成功                           | Copied!                       
Stats.CopyUID                                      | 复制UID                          | 複製UID                          | Copy UID                      
Stats.DetailTitle                                  | 数据详情                           | 數據詳情                           | Detail Stats                  
Stats.FirstPlace                                   | 第一数                            | 第一數                            | First Place                   
Stats.FirstRate                                    | 第一率                            | 第一率                            | First Rate                    
Stats.Header.Damage                                | 伤害                             | 伤害                             | Damage                        
Stats.Header.Kill                                  | 击败                             | 击败                             | Kills                         
Stats.Header.Mode                                  | 模式                             | 模式                             | Mode                          
Stats.Header.ModeCategory                          | 排位模式                           | 排位模式                           | Rank Mode                     
Stats.Header.ModeType                              | 对局模式                           | 對局模式                           | Match Type                    
Stats.Header.Rank                                  | 排名                             | 排名                             | Rank                          
Stats.Header.RankScore                             | 段位                             | 段位                             | Tier                          
Stats.Header.Time                                  | 时间                             | 时间                             | Time                          
Stats.KD                                           | K/D                            | K/D                            | K/D                           
Stats.LoadError                                    | 加载战绩失败，请检查网络后重试。               | 載入戰績失敗，請檢查網路後重試。               | Failed to load stats. Check your network and try again.
Stats.Matches                                      | 对局数                            | 對局數                            | Matches                       
Stats.Minute                                       | 分                              | 分                              | min                           
Stats.MostParry                                    | 最多振刀                           | 最多振刀                           | Most Parry                    
Stats.NoPlayerName                                 | 请先在设置中配置玩家名称                   | 請先在設定中設定玩家名稱                   | Please configure a player name in Settings first
Stats.PlayerNotFound                               | 未找到该玩家，请检查名称是否正确               | 找不到該玩家，請檢查名稱是否正確               | Player not found. Please check the name and try again
Stats.Points                                       | 分                              | 分                              | pts                           
Stats.RankName                                     | 无双修罗                           | 无双修罗                           | Unrivaled Asura               
Stats.RecentBattles                                | 最近10场对局                        | 最近10場對局                        | Recent 10 Battles             
Stats.Refresh                                      | 刷新                             | 刷新                             | Refresh                       
Stats.Season                                       | 赛季：                            | 賽季：                            | Season:                       
Stats.Second                                       | 秒                              | 秒                              | s                             
Stats.Title                                        | 天工赛季                           | 天工賽季                           | Season Stats                  
Stats.TopFive                                      | 前五数                            | 前五數                            | Top 5                         
Stats.TopFiveRate                                  | 前五率                            | 前五率                            | Top 5 Rate                    
Stats.Unknown                                      | 未知                             | 未知                             | Unknown                       
Tab.Arena                                          | 无尽试炼                           | 无尽试炼                           | Arena                         
Tab.GodTrial                                       | 征神之路                           | 征神之路                           | God Trial                     
Tab.Stats                                          | 战绩                             | 战绩                             | Stats                         
TeamInfo.DiffAvgAssist                             | 助攻差                            | 助攻差                            | Assist Diff                   
TeamInfo.DiffAvgDamage                             | 伤害差                            | 傷害差                            | Damage Diff                   
TeamInfo.DiffAvgHeal                               | 治疗差                            | 治療差                            | Heal Diff                     
TeamInfo.DiffAvgKill                               | 击杀差                            | 擊殺差                            | Kill Diff                     
TeamInfo.DiffAvgSurvival                           | 生存差                            | 生存差                            | Survival Diff                 
TeamInfo.DiffBestAssist                            | 最高助差                           | 最高助差                           | Best Assist Diff              
TeamInfo.DiffBestDamage                            | 最高伤差                           | 最高傷差                           | Best Dmg Diff                 
TeamInfo.DiffBestHeal                              | 最高治差                           | 最高治差                           | Best Heal Diff                
TeamInfo.DiffBestKill                              | 最高杀差                           | 最高殺差                           | Best Kill Diff                
TeamInfo.DiffFirstPlace                            | 第一差                            | 第一差                            | Wins Diff                     
TeamInfo.DiffFirstRate                             | 第一率差                           | 第一率差                           | Win Rate Diff                 
TeamInfo.DiffKD                                    | KD差                            | KD差                            | KD Diff                       
TeamInfo.DiffMatches                               | 场次差                            | 場次差                            | Matches Diff                  
TeamInfo.DiffMostParry                             | 振刀差                            | 振刀差                            | Parry Diff                    
TeamInfo.DiffRankScore                             | 段位差                            | 段位差                            | Rank Diff                     
TeamInfo.DiffTop5Rate                              | 前五差                            | 前五差                            | Top5 Diff                     
TeamInfo.DiffTopFive                               | 前五差                            | 前五差                            | Top5 Diff                     
TeamInfo.HeroSelectRecognizing                     | 英雄选择中，正在识别队友...                | 英雄選擇中，正在識別隊友...                | Hero selection, identifying teammates...
TeamInfo.InGameLocked                              | 进入对局，队伍信息已锁定                   | 進入對局，隊伍資訊已鎖定                   | Match started, team info locked
TeamInfo.LoadError                                 | 加载出错                           | 載入錯誤                           | Load error                    
TeamInfo.LoadFailed                                | 加载失败                           | 載入失敗                           | Load failed                   
TeamInfo.PlayerNotFound                            | 未找到该玩家                         | 未找到該玩家                         | Player not found              
TeamInfo.QueryFailed                               | 查询失败                           | 查詢失敗                           | Query Failed                  
TeamInfo.Title                                     | 队伍信息                           | 隊伍資訊                           | Team Info                     
TeamInfo.WaitingForHeroSelect                      | 等待游戏进入英雄选择...                  | 等待遊戲進入英雄選擇...                  | Waiting to enter hero selection...
TitleBar.Back                                      | 返回                             | 返回                             | Go Back                       
TitleBar.Close                                     | 关闭                             | 关闭                             | Close                         
TitleBar.Maximize                                  | 最大化                            | 最大化                            | Maximize                      
TitleBar.Minimize                                  | 最小化                            | 最小化                            | Minimize                      
TitleBar.Restore                                   | 还原                             | 还原                             | Restore                       
UpdateDialog.Cancel                                | 取消                             | 取消                             | Cancel                        
UpdateDialog.CannotDownloadAppcast                 | 无法连接更新服务器，请检查网络后重试             | 無法連線更新伺服器，請檢查網路後重試             | Unable to connect to update server. Please check your network and try again.
UpdateDialog.CheckingForUpdates                    | 正在检查更新...                      | 正在檢查更新...                      | Checking for Updates...       
UpdateDialog.Download                              | 更新                             | 更新                             | update                        
UpdateDialog.DownloadError                         | 下载更新时发生错误：\n{0}                | 下載更新時發生錯誤：\n{0}                | There was a problem downloading the update:\n{0}
UpdateDialog.DownloadInstall                       | 下载并安装                          | 下載並安裝                          | Download/Install              
UpdateDialog.Downloading                           | 正在下载 {0}                       | 正在下載 {0}                       | Downloading {0}               
UpdateDialog.DownloadingGeneric                    | 正在下载...                        | 正在下載...                        | Downloading...                
UpdateDialog.ErrorTitle                            | 错误                             | 錯誤                             | Error                         
UpdateDialog.InfoTitle                             | 提示                             | 提示                             | Info                          
UpdateDialog.Install                               | 安装                             | 安裝                             | Install                       
UpdateDialog.InstallRelaunch                       | 安装并重启                          | 安裝並重啟                          | Install and Relaunch          
UpdateDialog.NewVersionAvailable                   | 有新版本可用                         | 有新版本可用                         | A new version is available.   
UpdateDialog.RemindLater                           | 稍后提醒                           | 稍後提醒                           | Remind me later               
UpdateDialog.Restart                               | 重新启动                           | 重新啟動                           | Restart                       
UpdateDialog.SkipVersion                           | 跳过此版本                          | 跳過此版本                          | Skip this version             
UpdateDialog.SoftwareUpdate                        | 软件更新                           | 軟體更新                           | Software Update               
UpdateDialog.ToastAction                           | 查看详情                           | 檢視詳情                           | More information              
UpdateDialog.ToastMessage                          | 发现新版本                          | 發現新版本                          | New Version Available         
UpdateDialog.UnknownInstallerFormat                | 不支持此更新格式，请手动运行 {0}             | 不支援此更新格式，請手動執行 {0}             | Updater not supported, please execute {0} manually.
UpdateDialog.UpToDate                              | 当前已是最新版本                       | 目前已是最新版本                       | Your current version is up to date.
UpdateDialog.UpdateCompleted                       | 更新完成                           | 更新完成                           | Update Complete               
UpdateDialog.VersionInfo                           | {0} 现已发布（当前版本 {1}）。是否立即{2}？    | {0} 現已發布（當前版本 {1}）。是否立即{2}？    | {0} is now available (you have {1}). Would you like to {2} it now?
UpdateDialog.VersionInfoNoName                     | 是否立即{0}？                       | 是否立即{0}？                       | Would you like to {0} it now? 
UpdateDialog.VersionSkipped                        | 您已选择跳过此版本                      | 您已選擇跳過此版本                      | You have elected to skip this version.
